         1781202 function calls (1758822 primitive calls) in 2.859 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1868(FileMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:189(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1909(PathMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
       74    0.000    0.000    0.000    0.000 __init__.py:1929(__init__)
       13    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1934(EggMetadata)
        4    0.000    0.000    0.000    0.000 __init__.py:1952(register_finder)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
       16    0.000    0.000    0.000    0.000 __init__.py:1962(find_distributions)
        2    0.000    0.000    0.000    0.000 __init__.py:1999(find_nothing)
        1    0.000    0.000    0.006    0.006 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
       14    0.000    0.000    0.018    0.001 __init__.py:2006(_by_version_descending)
       74    0.000    0.000    0.007    0.000 __init__.py:2021(_by_version)
       74    0.000    0.000    0.006    0.000 __init__.py:2027(<listcomp>)
       88    0.000    0.000    0.038    0.000 __init__.py:2032(find_on_path)
       10    0.000    0.000    0.000    0.000 __init__.py:2034(getLogger)
      924    0.000    0.000    0.005    0.000 __init__.py:2044(<genexpr>)
       88    0.001    0.000    0.010    0.000 __init__.py:2052(<genexpr>)
      984    0.001    0.000    0.008    0.000 __init__.py:2067(dist_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:2087(NoDists)
      836    0.000    0.000    0.000    0.000 __init__.py:2095(__bool__)
        1    0.000    0.000    0.000    0.000 __init__.py:210(c_longlong)
       14    0.000    0.000    0.002    0.000 __init__.py:2102(safe_listdir)
      148    0.000    0.000    0.013    0.000 __init__.py:2118(distributions_from_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:214(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:2162(NullHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:2167(register_namespace_handler)
       11    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
       18    0.000    0.000    0.005    0.000 __init__.py:2185(_handle_ns)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.002    0.002 __init__.py:2254(declare_namespace)
       11    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
       37    0.000    0.000    0.004    0.000 __init__.py:2288(fixup_namespace_packages)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        9    0.000    0.000    0.002    0.000 __init__.py:2327(normalize_path)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        9    0.000    0.000    0.000    0.000 __init__.py:2333(_cygwin_patch)
      310    0.000    0.000    0.002    0.000 __init__.py:2344(_normalize_cached)
       11    0.000    0.000    0.000    0.000 __init__.py:2352(_is_egg_path)
       11    0.000    0.000    0.000    0.000 __init__.py:2359(_is_zip_egg)
        1    0.000    0.000    0.000    0.000 __init__.py:236(ResolutionError)
       25    0.000    0.000    0.000    0.000 __init__.py:2367(_is_unpacked_egg)
        1    0.000    0.000    0.000    0.000 __init__.py:238(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        3    0.000    0.000    0.000    0.000 __init__.py:2385(yield_lines)
        7    0.000    0.000    0.000    0.000 __init__.py:24(_module_matches_namespace)
        1    0.000    0.000    0.001    0.001 __init__.py:2414(EntryPoint)
